ID_NR,year,day_number,age_for_analyses,cub_status,cub_number,lon,lat,merking,event,ecotype,year_death
23425,1999,108,7,c,1,25.21,76.6,n,5,O,NA
23425,2010,108,18,n,NA,17.056,77.798,r,11,O,NA
23432,2000,85,7,n,NA,24.923,77.467,n,11,NA,NA
23437,2000,85,9,n,NA,22.772,77.267,n,11,NA,NA
23439,2000,86,11,n,NA,27.021,77.703,n,11,NA,NA
23441,2000,86,20,n,NA,27.035,77.703,n,11,NA,NA
23443,2000,86,14,n,NA,28.238,78.752,n,11,O,NA
23445,2000,86,2,NA,NA,28.238,78.752,n,1,NA,NA
23447,2000,86,18,n,NA,27.872,78.852,n,11,O,NA
23448,2000,88,17,n,NA,24.768,76.42,n,11,NA,NA
23450,2000,88,11,n,NA,24.768,76.42,n,11,NA,NA
23457,2000,89,18,n,NA,24.437,76.958,n,11,NA,NA
23459,2000,89,13,n,NA,24.088,77.118,n,11,NA,NA
23461,2000,89,14,yr,1,24.602,77.107,n,7,NA,NA
23464,2000,90,10,n,NA,25.375,76.692,n,11,NA,NA
23465,2000,90,4,NA,NA,25.217,76.607,n,3,NA,NA
23465,2001,117,5,n,NA,24.16,77.084,r,4,NA,NA
23466,2000,92,6,n,NA,25.452,76.69,n,11,NA,NA
23476,2000,93,14,c,2,19.088,78.205,n,6,C,NA
23479,2000,93,2,NA,NA,18.858,78.305,n,1,C,NA
23479,2002,114,4,NA,NA,18.994,78.292,r,3,C,NA
23479,2003,112,5,n,NA,19.083,78.867,r,4,C,NA
23479,2007,91,9,c,2,18.926,78.336,r,6,C,NA
23479,2009,112,11,c,1,18.844,78.51,r,5,C,NA
23479,2012,112,14,c,2,19.084,78.479,r,6,C,NA
23479,2015,119,17,c,2,18.88,78.53,r,6,C,NA
23479,2017,86,19,2yr,2,18.881,78.308,r,10,C,NA
23479,2019,90,21,yr,2,18.97,78.504,r,8,C,NA
23480,2000,93,19,c,1,21.005,77.525,n,5,NA,NA
23483,2000,94,10,n,NA,25.5,76.733,n,11,NA,NA
23484,2000,94,11,c,2,22.99,78.185,n,6,NA,NA
23492,2000,95,23,n,NA,25.052,76.506,n,11,NA,NA
23499,2003,116,3,NA,NA,23.55,77.95,r,2,C,NA
23500,2008,115,8,n,NA,22.313,78.115,r,11,C,NA
23500,2015,101,15,c,2,22.286,78.364,r,6,C,NA
23500,2016,100,16,yr,2,23.535,78.684,r,8,C,NA
23500,2017,113,17,n,NA,23.464,78.116,r,11,C,NA
23500,2018,107,18,c,2,22.666,78.246,r,6,C,NA
23500,2021,112,21,n,2,23.087,78.253,r-obs,11,C,NA
23502,2000,98,9,n,NA,25.307,77.358,n,11,NA,NA
23509,2000,103,19,c,2,22.758,78.088,n,6,NA,NA
23514,2000,104,10,c,2,28.09,78.818,n,6,NA,NA
23517,2000,104,8,c,1,28.158,78.9,n,5,NA,NA
23519,2000,104,9,c,2,27.872,78.84,n,6,NA,NA
23522,2000,104,7,c,2,29.472,78.887,n,6,NA,NA
23525,2000,104,9,c,1,26.523,78.823,n,5,NA,NA
23527,2000,104,10,c,2,26.658,78.69,n,6,NA,NA
23532,2000,105,16,n,NA,20.038,78.288,n,11,NA,NA
23534,2000,105,9,c,1,21.672,78.585,n,5,NA,NA
23534,2003,113,12,c,1,20.329,78.526,r,5,NA,NA
23538,2000,111,15,c,2,28.303,78.87,n,6,O,NA
23541,2000,111,11,c,2,28.198,78.89,n,6,O,NA
23544,2000,111,13,c,2,29.368,78.885,n,6,NA,NA
23547,2000,111,8,c,2,29.471,78.885,n,6,NA,NA
23550,2000,111,24,c,1,28.123,78.883,n,5,NA,NA
23552,2000,111,20,c,1,28.183,78.888,n,5,NA,NA
23552,2001,125,21,yr,1,16.77,77.49,r,7,NA,NA
23554,2000,111,19,c,2,27.905,78.867,n,6,NA,NA
23557,2000,112,9,n,NA,25.417,76.673,n,11,NA,NA
23560,2000,112,8,n,NA,25.417,76.673,n,11,NA,NA
23561,2000,113,13,n,NA,25.42,76.703,n,11,NA,NA
23562,2000,113,9,n,NA,25.42,76.703,n,11,NA,NA
23563,2001,101,7,n,NA,24.98283,76.51151,n,11,NA,NA
23564,2001,101,7,n,NA,25.084,76.514,n,11,NA,NA
23565,2001,102,8,n,NA,25.37004,76.6474,n,11,NA,NA
23566,2001,102,9,n,NA,25.37004,76.6474,n,11,NA,NA
23567,2001,102,2,NA,NA,25.37004,76.6474,n,1,NA,NA
23573,2001,103,11,n,NA,22.448,77.438,n,11,NA,NA
23577,2001,107,24,yr,1,25.448,76.702,n,7,NA,NA
23581,2001,107,18,n,NA,24.979,76.513,n,11,NA,NA
23586,2001,108,21,n,NA,26.284,77.652,n,11,NA,NA
